NumCode,CharCode,Nominal,Name,Value,ValuePerUnit,Date
036,AUD,1,Австралийский доллар,"55,1362",55.1362,2025-09-20
944,AZN,1,Азербайджанский манат,"49,1708",49.1708,2025-09-20
012,DZD,100,Алжирских динаров,"64,7725",0.6477249999999999,2025-09-20
051,AMD,100,Армянских драмов,"21,8337",0.218337,2025-09-20
764,THB,10,Батов,"26,2327",2.62327,2025-09-20
048,BHD,1,Бахрейнский динар,"222,2669",222.2669,2025-09-20
933,BYN,1,Белорусский рубль,"27,4697",27.4697,2025-09-20
975,BGN,1,Болгарский лев,"50,5090",50.509,2025-09-20
068,BOB,1,Боливиано,"12,0970",12.097,2025-09-20
986,BRL,1,Бразильский реал,"15,7697",15.7697,2025-09-20
410,KRW,1000,Вон,"60,3715",0.060371499999999995,2025-09-20
344,HKD,1,Гонконгский доллар,"10,7692",10.7692,2025-09-20
980,UAH,10,Гривен,"20,2642",2.02642,2025-09-20
208,DKK,1,Датская крона,"13,2339",13.2339,2025-09-20
784,AED,1,Дирхам ОАЭ,"22,7612",22.7612,2025-09-20
840,USD,1,Доллар США,"83,5904",83.5904,2025-09-20
704,VND,10000,Донгов,"33,1892",0.00331892,2025-09-20
978,EUR,1,Евро,"98,8845",98.8845,2025-09-20
818,EGP,10,Египетских фунтов,"17,3430",1.7343,2025-09-20
985,PLN,1,Злотый,"23,0416",23.0416,2025-09-20
392,JPY,100,Иен,"56,4991",0.564991,2025-09-20
356,INR,100,Индийских рупий,"94,6605",0.946605,2025-09-20
364,IRR,100000,Иранских риалов,"14,4209",0.000144209,2025-09-20
124,CAD,1,Канадский доллар,"60,5859",60.5859,2025-09-20
634,QAR,1,Катарский риал,"22,9644",22.9644,2025-09-20
192,CUP,10,Кубинских песо,"34,8293",3.4829300000000005,2025-09-20
104,MMK,1000,Кьятов,"39,8050",0.039805,2025-09-20
981,GEL,1,Лари,"30,5565",30.5565,2025-09-20
498,MDL,10,Молдавских леев,"50,7430",5.0743,2025-09-20
566,NGN,1000,Найр,"55,7650",0.055765,2025-09-20
554,NZD,1,Новозеландский доллар,"49,1303",49.1303,2025-09-20
934,TMT,1,Новый туркменский манат,"23,8830",23.883,2025-09-20
578,NOK,10,Норвежских крон,"85,2572",8.52572,2025-09-20
512,OMR,1,Оманский риал,"217,4003",217.4003,2025-09-20
946,RON,1,Румынский лей,"19,3774",19.3774,2025-09-20
360,IDR,10000,Рупий,"50,6670",0.0050667,2025-09-20
710,ZAR,10,Рэндов,"48,2401",4.8240099999999995,2025-09-20
682,SAR,1,Саудовский риял,"22,2908",22.2908,2025-09-20
960,XDR,1,СДР (специальные права заимствования),"115,1132",115.1132,2025-09-20
941,RSD,100,Сербских динаров,"83,9979",0.839979,2025-09-20
702,SGD,1,Сингапурский доллар,"65,1980",65.198,2025-09-20
417,KGS,100,Сомов,"95,5865",0.955865,2025-09-20
972,TJS,10,Сомони,"88,6177",8.86177,2025-09-20
050,BDT,100,Так,"68,6274",0.6862739999999999,2025-09-20
398,KZT,100,Тенге,"15,4414",0.154414,2025-09-20
496,MNT,1000,Тугриков,"23,2550",0.023254999999999998,2025-09-20
949,TRY,10,Турецких лир,"20,2505",2.02505,2025-09-20
860,UZS,10000,Узбекских сумов,"67,8785",0.006787850000000001,2025-09-20
348,HUF,100,Форинтов,"25,2014",0.252014,2025-09-20
826,GBP,1,Фунт стерлингов,"113,2817",113.2817,2025-09-20
203,CZK,10,Чешских крон,"40,3994",4.03994,2025-09-20
752,SEK,10,Шведских крон,"89,8228",8.98228,2025-09-20
756,CHF,1,Швейцарский франк,"105,1055",105.1055,2025-09-20
230,ETB,100,Эфиопских быров,"58,1687",0.5816870000000001,2025-09-20
156,CNY,1,Юань,"11,7060",11.706,2025-09-20
